,GM,DAY,DATE,Away,HOME,Network,Average Viewers (000),Away P2+ IMP,Home P2+ IMP,DMA_TV_Households_Millions_x,DMA_TV_Households_Millions_y,Total Viewership
2516,54,Tue,2014-11-4,CHA,NOP,Regional,0.0,18.7,16.8,1.19,0.64,35.5
2517,55,Tue,2014-11-4,CLE,POR,NBA TV,836.0,156.0,103.0,1.5,1.14,1095.0
2518,56,Tue,2014-11-4,PHX,LAL,Regional,0.0,50.0,283.0,1.89,5.48,333.0
2519,57,Wed,2014-11-5,MIA,CHA,Regional,0.0,156.0,20.45454545,1.7,1.19,176.45454545
2520,58,Wed,2014-11-5,ORL,PHI,Regional,0.0,25.0,51.0,1.52,2.94,76.0
2521,59,Wed,2014-11-5,TOR,BOS,Regional,0.0,0.0,104.0,2.86,2.42,104.0
2522,60,Wed,2014-11-5,MIN,BRK,Regional,0.0,63.0,37.0,1.74,7.35,100.0
2523,61,Wed,2014-11-5,NYK,DET,Regional,0.0,198.0,53.0,7.35,1.85,251.0
2524,62,Wed,2014-11-5,CHI,MIL,Regional,0.0,280.0,30.0,3.46,0.9,310.0
2525,63,Wed,2014-11-5,IND,WAS,ESPN,1368.0,23.0,43.0,1.09,2.48,1434.0
2526,64,Wed,2014-11-5,ATL,SAS,Regional,0.0,46.0,100.0,2.41,0.94,146.0
2527,65,Wed,2014-11-5,MEM,PHX,Regional,0.0,12.9,54.0,0.63,1.89,66.9
2528,66,Wed,2014-11-5,CLE,UTA,Regional,0.0,153.0,47.8,1.5,0.92,200.8
2529,67,Wed,2014-11-5,DEN,SAC,Regional,0.0,17.0,45.0,1.63,1.38,62.0
2530,68,Wed,2014-11-5,LAC,GSW,ESPN,1651.0,68.0,172.0,5.48,2.49,1891.0
2531,69,Thu,2014-11-6,SAS,HOU,TNT,1497.0,0.0,0.0,0.94,2.45,1497.0
2532,70,Thu,2014-11-6,DAL,POR,TNT,1383.0,0.0,0.0,2.71,1.14,1383.0
2533,71,Fri,2014-11-7,ATL,CHA,Regional,0.0,40.0,22.76,2.41,1.19,62.760000000000005
2534,72,Fri,2014-11-7,MIN,ORL,Regional,0.0,43.0,24.0,1.74,1.52,67.0
2535,73,Fri,2014-11-7,CHI,PHI,Regional,0.0,229.0,47.0,3.46,2.94,276.0
2536,74,Fri,2014-11-7,IND,BOS,Regional,0.0,39.0,116.0,1.09,2.42,155.0
2537,75,Fri,2014-11-7,NYK,BRK,Regional,0.0,140.0,64.0,7.35,7.35,204.0
2538,76,Fri,2014-11-7,MIL,DET,Regional,0.0,14.0,38.0,0.9,1.85,52.0
2539,77,Fri,2014-11-7,WAS,TOR,Regional,0.0,40.0,0.0,2.48,2.86,40.0
2540,78,Fri,2014-11-7,MEM,OKC,ESPN,1456.0,0.0,21.91666667,0.63,0.72,1477.91666667
2541,79,Fri,2014-11-7,SAC,PHX,Regional,0.0,98.0,57.0,1.38,1.89,155.0
2542,80,Fri,2014-11-7,DAL,UTA,Regional,0.0,69.0,22.33,2.71,0.92,91.33
2543,81,Fri,2014-11-7,CLE,DEN,ESPN,2382.0,69.0,17.0,1.5,1.63,2468.0
2544,82,Sat,2014-11-8,POR,LAC,Regional,0.0,38.0,65.0,1.14,5.48,103.0
2545,83,Sat,2014-11-8,WAS,IND,Regional,0.0,28.0,18.0,2.48,1.09,46.0
2546,84,Sat,2014-11-8,NYK,ATL,Regional,0.0,208.0,21.0,7.35,2.41,229.0
2547,85,Sat,2014-11-8,MIN,MIA,Regional,0.0,28.0,158.0,1.74,1.7,186.0
2548,86,Sat,2014-11-8,BOS,CHI,Regional,0.0,69.0,329.0,2.42,3.46,398.0
2549,87,Sat,2014-11-8,GSW,HOU,Regional,0.0,153.0,60.0,2.49,2.45,213.0
2550,88,Sat,2014-11-8,MEM,MIL,Regional,0.0,16.5,16.0,0.63,0.9,32.5
2551,89,Sat,2014-11-8,NOP,SAS,NBA TV,215.0,5.7,60.0,0.64,0.94,280.7
2552,90,Sun,2014-11-9,ORL,BRK,Regional,0.0,9.0,16.0,1.52,7.35,25.0
2553,91,Sun,2014-11-9,UTA,DET,Regional,0.0,18.16,34.0,0.92,1.85,52.16
2554,92,Sun,2014-11-9,SAC,OKC,Regional,0.0,69.0,44.5,1.38,0.72,113.5
2555,93,Sun,2014-11-9,PHI,TOR,NBA TV,158.0,11.0,0.0,2.94,2.86,169.0
2556,94,Sun,2014-11-9,MIA,DAL,Regional,0.0,168.0,65.0,1.7,2.71,233.0
2557,95,Sun,2014-11-9,GSW,PHX,Regional,0.0,155.0,33.0,2.49,1.89,188.0
2558,96,Sun,2014-11-9,DEN,POR,Regional,0.0,23.0,65.0,1.63,1.14,88.0
2559,97,Sun,2014-11-9,CHA,LAL,Regional,0.0,20.0,232.0,1.19,5.48,252.0
2560,98,Mon,2014-11-10,NOP,CLE,Regional,0.0,11.0,219.0,0.64,1.5,230.0
2561,99,Mon,2014-11-10,UTA,IND,Regional,0.0,30.0,28.0,0.92,1.09,58.0
2562,100,Mon,2014-11-10,ATL,NYK,NBA TV,170.0,37.0,190.0,2.41,7.35,397.0
2563,101,Mon,2014-11-10,DET,CHI,Regional,0.0,39.0,238.0,1.85,3.46,277.0
2564,102,Mon,2014-11-10,SAS,LAC,NBA TV,318.0,58.0,195.0,0.94,5.48,571.0
2565,103,Tue,2014-11-11,ORL,TOR,NBA TV,289.0,25.0,0.0,1.52,2.86,314.0
2566,104,Tue,2014-11-11,LAL,MEM,Regional,0.0,221.0,22.6,5.48,0.63,243.6
2567,105,Tue,2014-11-11,OKC,MIL,Regional,0.0,34.1,21.0,0.72,0.9,55.1
2568,106,Tue,2014-11-11,SAC,DAL,Regional,0.0,78.0,82.0,1.38,2.71,160.0
2569,107,Tue,2014-11-11,CHA,POR,Regional,0.0,14.3,65.0,1.19,1.14,79.3
2570,108,Tue,2014-11-11,SAS,GSW,NBA TV,466.0,69.0,177.0,0.94,2.49,712.0
2571,109,Wed,2014-11-12,DET,WAS,Regional,0.0,36.0,33.0,1.85,2.48,69.0
2572,110,Wed,2014-11-12,UTA,ATL,Regional,0.0,34.6,43.0,0.92,2.41,77.6
2573,111,Wed,2014-11-12,OKC,BOS,Regional,0.0,40.5,72.0,0.72,2.42,112.5
2574,112,Wed,2014-11-12,IND,MIA,ESPN,1587.0,28.0,117.0,1.09,1.7,1732.0
2575,113,Wed,2014-11-12,ORL,NYK,Regional,0.0,18.0,257.0,1.52,7.35,275.0
2576,114,Wed,2014-11-12,LAL,NOP,Regional,0.0,234.0,18.8,5.48,0.64,252.8
2577,115,Wed,2014-11-12,POR,DEN,Regional,0.0,155.0,13.0,1.14,1.63,168.0
2578,116,Wed,2014-11-12,BRK,PHX,Regional,0.0,30.0,52.0,7.35,1.89,82.0
2579,117,Wed,2014-11-12,HOU,MIN,ESPN,1622.0,24.0,0.0,2.45,1.74,1646.0
2580,118,Thu,2014-11-13,SAC,MEM,Regional,0.0,52.0,19.72727273,1.38,0.63,71.72727273
2581,119,Thu,2014-11-13,CHI,TOR,TNT,1447.0,0.0,0.0,3.46,2.86,1447.0
2582,120,Thu,2014-11-13,PHI,DAL,Regional,0.0,32.0,77.0,2.94,2.71,109.0
2583,121,Thu,2014-11-13,BRK,GSW,TNT,1263.0,0.0,129.0,7.35,2.49,1392.0
2584,122,Fri,2014-11-14,DEN,IND,NBA TV,196.0,13.0,24.0,1.63,1.09,233.0
2585,123,Fri,2014-11-14,MIL,ORL,Regional,0.0,28.0,19.0,0.9,1.52,47.0
2586,124,Fri,2014-11-14,MIA,ATL,Regional,0.0,122.0,47.0,1.7,2.41,169.0
2587,125,Fri,2014-11-14,CLE,BOS,Regional,0.0,217.0,141.0,1.5,2.42,358.0
2588,126,Fri,2014-11-14,UTA,NYK,Regional,0.0,26.0,194.0,0.92,7.35,220.0
2589,127,Fri,2014-11-14,PHI,HOU,Regional,0.0,37.0,43.0,2.94,2.45,80.0
2590,128,Fri,2014-11-14,MIN,NOP,Regional,0.0,10.0,10.4,1.74,0.64,20.4
2591,129,Fri,2014-11-14,DET,OKC,Regional,0.0,24.0,45.9,1.85,0.72,69.9
2592,130,Fri,2014-11-14,CHA,PHX,Regional,0.0,24.8,53.0,1.19,1.89,77.8
2593,131,Fri,2014-11-14,SAS,LAL,ESPN,1329.0,95.0,139.0,0.94,5.48,1563.0
2594,132,Sat,2014-11-15,ORL,WAS,Regional,0.0,12.0,40.0,1.52,2.48,52.0
2595,133,Sat,2014-11-15,ATL,CLE,Regional,0.0,19.0,147.0,2.41,1.5,166.0
2596,134,Sat,2014-11-15,UTA,TOR,Regional,0.0,23.0,0.0,0.92,2.86,23.0
2597,135,Sat,2014-11-15,IND,CHI,Regional,0.0,26.0,325.0,1.09,3.46,351.0
2598,136,Sat,2014-11-15,DET,MEM,Regional,0.0,34.0,24.0,1.85,0.63,58.0
2599,137,Sat,2014-11-15,MIN,DAL,Regional,0.0,27.0,48.0,1.74,2.71,75.0
2600,138,Sat,2014-11-15,BRK,POR,NBA TV,144.0,60.0,83.0,7.35,1.14,287.0
2601,139,Sat,2014-11-15,SAS,SAC,Regional,0.0,53.0,46.0,0.94,1.38,99.0
2602,140,Sat,2014-11-15,CHA,GSW,Regional,0.0,7.6,144.0,1.19,2.49,151.6
2603,141,Sat,2014-11-15,PHX,LAC,Regional,0.0,24.0,64.0,1.89,5.48,88.0
2604,142,Sun,2014-11-16,DEN,NYK,Regional,0.0,0.0,94.0,1.63,7.35,94.0
2605,143,Sun,2014-11-16,MIL,MIA,Regional,0.0,10.0,87.0,0.9,1.7,97.0
2606,144,Sun,2014-11-16,HOU,OKC,NBA TV,249.0,0.0,43.0,2.45,0.72,292.0
2607,145,Sun,2014-11-16,GSW,LAL,Regional,0.0,149.0,130.0,2.49,5.48,279.0
2608,146,Mon,2014-11-17,DAL,CHA,Regional,0.0,52.0,9.0,2.71,1.19,61.0
2609,147,Mon,2014-11-17,DEN,CLE,NBA TV,302.0,18.0,171.0,1.63,1.5,491.0
2610,148,Mon,2014-11-17,PHX,BOS,Regional,0.0,51.0,74.0,1.89,2.42,125.0
2611,149,Mon,2014-11-17,MIA,BRK,Regional,0.0,150.0,56.0,1.7,7.35,206.0
2612,150,Mon,2014-11-17,ORL,DET,Regional,0.0,17.0,24.0,1.52,1.85,41.0
2613,151,Mon,2014-11-17,HOU,MEM,Regional,0.0,55.0,29.0,2.45,0.63,84.0
2614,152,Mon,2014-11-17,PHI,SAS,Regional,0.0,12.0,78.0,2.94,0.94,90.0
2615,153,Mon,2014-11-17,NOP,POR,Regional,0.0,9.3,61.0,0.64,1.14,70.3
2616,154,Mon,2014-11-17,CHI,LAC,NBA TV,285.0,217.0,135.0,3.46,5.48,637.0
2617,155,Tue,2014-11-18,LAL,ATL,Regional,0.0,143.0,54.0,5.48,2.41,197.0
2618,156,Tue,2014-11-18,NYK,MIL,Regional,0.0,183.0,30.0,7.35,0.9,213.0
2619,157,Tue,2014-11-18,OKC,UTA,Regional,0.0,34.8,31.5,0.72,0.92,66.3
2620,158,Tue,2014-11-18,NOP,SAC,NBA TV,341.0,13.2,61.0,0.64,1.38,415.2
2621,159,Wed,2014-11-19,SAS,CLE,ESPN,2648.0,72.0,143.0,0.94,1.5,2863.0
2622,160,Wed,2014-11-19,CHA,IND,Regional,0.0,14.78,38.0,1.19,1.09,52.78
2623,161,Wed,2014-11-19,LAC,ORL,Regional,0.0,52.0,29.0,5.48,1.52,81.0
2624,162,Wed,2014-11-19,BOS,PHI,Regional,0.0,87.0,41.0,2.42,2.94,128.0
2625,163,Wed,2014-11-19,DAL,WAS,Regional,0.0,79.0,48.0,2.71,2.48,127.0
2626,164,Wed,2014-11-19,MIL,BRK,Regional,0.0,34.0,73.0,0.9,7.35,107.0
2627,165,Wed,2014-11-19,PHX,DET,Regional,0.0,80.0,41.0,1.89,1.85,121.0
2628,166,Wed,2014-11-19,MEM,TOR,Regional,0.0,27.4,0.0,0.63,2.86,27.4
2629,167,Wed,2014-11-19,NYK,MIN,Regional,0.0,155.0,37.0,7.35,1.74,192.0
2630,168,Wed,2014-11-19,OKC,DEN,Regional,0.0,35.8,21.0,0.72,1.63,56.8
2631,169,Wed,2014-11-19,LAL,HOU,ESPN,2270.0,134.0,74.0,5.48,2.45,2478.0
2632,170,Thu,2014-11-20,LAC,MIA,TNT,1217.0,44.0,0.0,5.48,1.7,1261.0
2633,171,Thu,2014-11-20,CHI,SAC,TNT,1083.0,172.0,0.0,3.46,1.38,1255.0
2634,172,Fri,2014-11-21,ORL,CHA,Regional,0.0,14.0,22.3,1.52,1.19,36.3
2635,173,Fri,2014-11-21,PHX,PHI,Regional,0.0,42.0,28.0,1.89,2.94,70.0
2636,174,Fri,2014-11-21,DET,ATL,Regional,0.0,43.0,37.0,1.85,2.41,80.0
2637,175,Fri,2014-11-21,MIL,TOR,Regional,0.0,16.0,0.0,0.9,2.86,16.0
2638,176,Fri,2014-11-21,BOS,MEM,Regional,0.0,55.0,30.3,2.42,0.63,85.3
2639,177,Fri,2014-11-21,SAS,MIN,Regional,0.0,68.0,24.0,0.94,1.74,92.0
2640,178,Fri,2014-11-21,BRK,OKC,Regional,0.0,31.0,33.18,7.35,0.72,64.18
2641,179,Fri,2014-11-21,CLE,WAS,ESPN,1870.0,127.0,48.0,1.5,2.48,2045.0
2642,180,Fri,2014-11-21,LAL,DAL,Regional,0.0,163.0,104.0,5.48,2.71,267.0
2643,181,Fri,2014-11-21,NOP,DEN,Regional,0.0,5.9,27.0,0.64,1.63,32.9
2644,182,Fri,2014-11-21,UTA,GSW,Regional,0.0,17.4,151.0,0.92,2.49,168.4
2645,183,Fri,2014-11-21,CHI,POR,ESPN,1440.0,202.0,56.0,3.46,1.14,1698.0
2646,184,Sat,2014-11-22,PHX,IND,Regional,0.0,60.0,27.0,1.89,1.09,87.0
2647,185,Sat,2014-11-22,MIA,ORL,Regional,0.0,110.0,12.0,1.7,1.52,122.0
2648,186,Sat,2014-11-22,TOR,CLE,Regional,0.0,0.0,123.0,2.86,1.5,123.0
2649,187,Sat,2014-11-22,PHI,NYK,Regional,0.0,19.0,191.0,2.94,7.35,210.0
2650,188,Sat,2014-11-22,DAL,HOU,NBA TV,360.0,150.0,72.0,2.71,2.45,582.0
2651,189,Sat,2014-11-22,SAC,MIN,Regional,0.0,69.0,19.0,1.38,1.74,88.0
2652,190,Sat,2014-11-22,WAS,MIL,Regional,0.0,15.0,16.0,2.48,0.9,31.0
2653,191,Sat,2014-11-22,BRK,SAS,Regional,0.0,49.0,68.0,7.35,0.94,117.0
2654,192,Sat,2014-11-22,NOP,UTA,Regional,0.0,0.0,21.3,0.64,0.92,21.3
2655,193,Sun,2014-11-23,LAC,MEM,Regional,0.0,56.0,22.6,5.48,0.63,78.6
2656,194,Sun,2014-11-23,POR,BOS,Regional,0.0,50.0,34.0,1.14,2.42,84.0
2657,195,Sun,2014-11-23,CHA,MIA,NBA TV,127.0,8.9,87.0,1.19,1.7,222.9
2658,196,Sun,2014-11-23,GSW,OKC,Regional,0.0,136.0,36.81,2.49,0.72,172.81
2659,197,Sun,2014-11-23,DEN,LAL,Regional,0.0,22.0,241.0,1.63,5.48,263.0
2660,198,Mon,2014-11-24,LAC,CHA,Regional,0.0,40.0,15.6,5.48,1.19,55.6
2661,199,Mon,2014-11-24,ORL,CLE,Regional,0.0,10.0,118.0,1.52,1.5,128.0
2662,200,Mon,2014-11-24,POR,PHI,Regional,0.0,53.0,23.0,1.14,2.94,76.0
2663,201,Mon,2014-11-24,PHX,TOR,Regional,0.0,38.0,0.0,1.89,2.86,38.0
2664,202,Mon,2014-11-24,NYK,HOU,Regional,0.0,156.0,42.0,7.35,2.45,198.0
2665,203,Mon,2014-11-24,IND,DAL,Regional,0.0,15.0,60.0,1.09,2.71,75.0
2666,204,Mon,2014-11-24,CHI,UTA,Regional,0.0,202.0,21.2,3.46,0.92,223.2
2667,205,Tue,2014-11-25,ATL,WAS,Regional,0.0,27.0,36.0,2.41,2.48,63.0
2668,206,Tue,2014-11-25,GSW,MIA,NBA TV,406.0,112.0,154.0,2.49,1.7,672.0
2669,207,Tue,2014-11-25,DET,MIL,Regional,0.0,36.0,20.0,1.85,0.9,56.0
2670,208,Tue,2014-11-25,SAC,NOP,Regional,0.0,54.0,10.7,1.38,0.64,64.7
2671,209,Tue,2014-11-25,CHI,DEN,Regional,0.0,223.0,30.0,3.46,1.63,253.0
2672,210,Wed,2014-11-26,POR,CHA,Regional,0.0,50.0,21.5,1.14,1.19,71.5
2673,211,Wed,2014-11-26,WAS,CLE,Regional,0.0,45.0,197.0,2.48,1.5,242.0
2674,212,Wed,2014-11-26,GSW,ORL,Regional,0.0,79.0,13.0,2.49,1.52,92.0
2675,213,Wed,2014-11-26,BRK,PHI,Regional,0.0,60.0,41.0,7.35,2.94,101.0
2676,214,Wed,2014-11-26,NYK,DAL,ESPN,1253.0,98.0,63.0,7.35,2.71,1414.0
2677,215,Wed,2014-11-26,TOR,ATL,Regional,0.0,0.0,44.0,2.86,2.41,44.0
2678,216,Wed,2014-11-26,LAC,DET,Regional,0.0,82.0,41.0,5.48,1.85,123.0
2679,217,Wed,2014-11-26,SAC,HOU,Regional,0.0,52.0,53.0,1.38,2.45,105.0
2680,218,Wed,2014-11-26,MIL,MIN,Regional,0.0,23.0,0.0,0.9,1.74,23.0
2681,219,Wed,2014-11-26,UTA,OKC,Regional,0.0,20.4,38.8,0.92,0.72,59.199999999999996
2682,220,Wed,2014-11-26,IND,SAS,Regional,0.0,49.0,109.0,1.09,0.94,158.0
2683,221,Wed,2014-11-26,DEN,PHX,Regional,0.0,0.0,50.0,1.63,1.89,50.0
2684,222,Wed,2014-11-26,MEM,LAL,NBA TV,292.0,22.8,165.0,0.63,5.48,479.8
2685,223,Fri,2014-11-28,CHI,BOS,Regional,0.0,213.0,80.0,3.46,2.42,293.0
2686,224,Fri,2014-11-28,GSW,CHA,Regional,0.0,108.0,11.3,2.49,1.19,119.3
2687,225,Fri,2014-11-28,NOP,ATL,Regional,0.0,5.9,16.0,0.64,2.41,21.9
2688,226,Fri,2014-11-28,MIL,DET,Regional,0.0,20.0,23.0,0.9,1.85,43.0
2689,227,Fri,2014-11-28,DAL,TOR,Regional,0.0,129.0,0.0,2.71,2.86,129.0
2690,228,Fri,2014-11-28,LAC,HOU,NBA TV,363.0,170.0,88.0,5.48,2.45,621.0
2691,229,Fri,2014-11-28,NYK,OKC,Regional,0.0,138.0,61.2,7.35,0.72,199.2
2692,230,Fri,2014-11-28,ORL,IND,Regional,0.0,6.0,35.0,1.52,1.09,41.0
2693,231,Fri,2014-11-28,SAC,SAS,Regional,0.0,57.0,90.0,1.38,0.94,147.0
2694,232,Fri,2014-11-28,PHX,DEN,Regional,0.0,41.0,23.0,1.89,1.63,64.0
2695,233,Fri,2014-11-28,MEM,POR,Regional,0.0,17.1,82.0,0.63,1.14,99.1
2696,234,Fri,2014-11-28,MIN,LAL,Regional,0.0,13.0,246.0,1.74,5.48,259.0
2697,235,Sat,2014-11-29,DAL,PHI,Regional,0.0,101.0,25.0,2.71,2.94,126.0
2698,236,Sat,2014-11-29,NOP,WAS,NBA TV,182.0,6.55,26.0,0.64,2.48,214.55
2699,237,Sat,2014-11-29,CHA,ATL,Regional,0.0,5.0,22.0,1.19,2.41,27.0
2700,238,Sat,2014-11-29,IND,CLE,Regional,0.0,34.0,175.0,1.09,1.5,209.0
2701,239,Sat,2014-11-29,LAC,UTA,Regional,0.0,81.0,14.1,5.48,0.92,95.1
2702,240,Sat,2014-11-29,HOU,MIL,Regional,0.0,45.0,16.0,2.45,0.9,61.0
2703,241,Sun,2014-11-30,SAS,BOS,Regional,0.0,59.0,33.0,0.94,2.42,92.0
2704,242,Sun,2014-11-30,CHI,BRK,Regional,0.0,218.0,26.0,3.46,7.35,244.0
2705,243,Sun,2014-11-30,GSW,DET,Regional,0.0,102.0,0.0,2.49,1.85,102.0
2706,244,Sun,2014-11-30,MEM,SAC,Regional,0.0,22.1,47.0,0.63,1.38,69.1
2707,245,Sun,2014-11-30,MIA,NYK,Regional,0.0,118.0,183.0,1.7,7.35,301.0
2708,246,Sun,2014-11-30,ORL,PHX,Regional,0.0,5.0,30.0,1.52,1.89,35.0
2709,247,Sun,2014-11-30,MIN,POR,Regional,0.0,19.0,58.0,1.74,1.14,77.0
2710,248,Sun,2014-11-30,TOR,LAL,Regional,0.0,0.0,194.0,2.86,5.48,194.0
2711,249,Mon,2014-12-1,SAS,PHI,Regional,0.0,71.0,15.0,0.94,2.94,86.0
2712,250,Mon,2014-12-1,MIA,WAS,Regional,0.0,89.0,35.0,1.7,2.48,124.0
2713,251,Mon,2014-12-1,DEN,UTA,Regional,0.0,11.9,29.8,1.63,0.92,41.7
2714,252,Mon,2014-12-1,MIN,LAC,Regional,0.0,15.0,111.0,1.74,5.48,126.0
2715,253,Tue,2014-12-2,MIL,CLE,Regional,0.0,30.0,199.0,0.9,1.5,229.0
2716,254,Tue,2014-12-2,BOS,ATL,Regional,0.0,67.0,52.0,2.42,2.41,119.0
2717,255,Tue,2014-12-2,LAL,DET,Regional,0.0,193.0,19.0,5.48,1.85,212.0
2718,256,Tue,2014-12-2,BRK,NYK,Regional,0.0,62.0,201.0,7.35,7.35,263.0
2719,257,Tue,2014-12-2,DAL,CHI,Regional,0.0,125.0,266.0,2.71,3.46,391.0
2720,258,Tue,2014-12-2,OKC,NOP,Regional,0.0,58.54,16.36,0.72,0.64,74.9
2721,259,Tue,2014-12-2,POR,DEN,Regional,0.0,135.0,28.0,1.14,1.63,163.0
2722,260,Tue,2014-12-2,IND,PHX,Regional,0.0,40.0,76.0,1.09,1.89,116.0
2723,261,Tue,2014-12-2,TOR,SAC,NBA TV,240.0,0.0,70.0,2.86,1.38,310.0
2724,262,Tue,2014-12-2,ORL,GSW,Regional,0.0,8.0,159.0,1.52,2.49,167.0
2725,263,Wed,2014-12-3,CHI,CHA,NBA TV,235.0,158.0,11.1,3.46,1.19,404.1
2726,264,Wed,2014-12-3,LAL,WAS,Regional,0.0,169.0,56.0,5.48,2.48,225.0
2727,265,Wed,2014-12-3,DET,BOS,Regional,0.0,18.0,67.0,1.85,2.42,85.0
2728,266,Wed,2014-12-3,SAS,BRK,Regional,0.0,96.0,71.0,0.94,7.35,167.0
2729,267,Wed,2014-12-3,ATL,MIA,Regional,0.0,39.0,121.0,2.41,1.7,160.0
2730,268,Wed,2014-12-3,MEM,HOU,Regional,0.0,21.3,73.0,0.63,2.45,94.3
2731,269,Wed,2014-12-3,DAL,MIL,Regional,0.0,126.0,24.0,2.71,0.9,150.0
2732,270,Wed,2014-12-3,PHI,MIN,Regional,0.0,41.0,0.0,2.94,1.74,41.0
2733,271,Wed,2014-12-3,TOR,UTA,Regional,0.0,0.0,26.5,2.86,0.92,26.5
2734,272,Wed,2014-12-3,ORL,LAC,Regional,0.0,4.0,75.0,1.52,5.48,79.0
2735,273,Thu,2014-12-4,CLE,NYK,TNT,1817.0,128.0,0.0,1.5,7.35,1945.0
2736,274,Thu,2014-12-4,IND,POR,Regional,0.0,27.0,82.0,1.09,1.14,109.0
2737,275,Thu,2014-12-4,NOP,GSW,TNT,1299.0,0.0,0.0,0.64,2.49,1299.0
2738,276,Fri,2014-12-5,NYK,CHA,Regional,0.0,119.0,9.4,7.35,1.19,128.4
2739,277,Fri,2014-12-5,OKC,PHI,Regional,0.0,46.8,44.0,0.72,2.94,90.8
2740,278,Fri,2014-12-5,DEN,WAS,NBA TV,196.0,4.66,53.0,1.63,2.48,253.66
2741,279,Fri,2014-12-5,LAL,BOS,Regional,0.0,124.0,75.0,5.48,2.42,199.0
2742,280,Fri,2014-12-5,ATL,BRK,Regional,0.0,33.0,33.0,2.41,7.35,66.0
2743,281,Fri,2014-12-5,CLE,TOR,Regional,0.0,168.0,0.0,1.5,2.86,168.0
2744,282,Fri,2014-12-5,SAS,MEM,Regional,0.0,108.0,25.9,0.94,0.63,133.9
2745,283,Fri,2014-12-5,HOU,MIN,Regional,0.0,58.0,23.0,2.45,1.74,81.0
2746,284,Fri,2014-12-5,PHX,DAL,Regional,0.0,42.0,81.0,1.89,2.71,123.0
2747,285,Fri,2014-12-5,MIA,MIL,Regional,0.0,112.0,27.0,1.7,0.9,139.0
2748,286,Fri,2014-12-5,ORL,UTA,Regional,0.0,9.0,24.7,1.52,0.92,33.7
2749,287,Fri,2014-12-5,IND,SAC,NBA TV,252.0,41.0,57.0,1.09,1.38,350.0
2750,288,Sat,2014-12-6,PHI,DET,Regional,0.0,33.0,24.0,2.94,1.85,57.0
2751,289,Sat,2014-12-6,GSW,CHI,NBA TV,275.0,128.0,323.0,2.49,3.46,726.0
2752,290,Sat,2014-12-6,PHX,HOU,Regional,0.0,17.09,36.0,1.89,2.45,53.09
2753,291,Sat,2014-12-6,MIN,SAS,Regional,0.0,10.0,69.0,1.74,0.94,79.0
2754,292,Sat,2014-12-6,ORL,SAC,Regional,0.0,5.0,45.0,1.52,1.38,50.0
2755,293,Sat,2014-12-6,NOP,LAC,Regional,0.0,5.77,105.0,0.64,5.48,110.77
2756,294,Sun,2014-12-7,WAS,BOS,Regional,0.0,13.0,26.0,2.48,2.42,39.0
2757,295,Sun,2014-12-7,DEN,ATL,Regional,0.0,2.0,0.0,1.63,2.41,2.0
2758,296,Sun,2014-12-7,MIA,MEM,Regional,0.0,75.0,19.4,1.7,0.63,94.4
2759,297,Sun,2014-12-7,OKC,DET,Regional,0.0,40.0,0.0,0.72,1.85,40.0
2760,298,Sun,2014-12-7,MIL,DAL,Regional,0.0,4.0,66.0,0.9,2.71,70.0
2761,299,Sun,2014-12-7,POR,NYK,Regional,0.0,63.0,155.0,1.14,7.35,218.0
2762,300,Sun,2014-12-7,NOP,LAL,Regional,0.0,2.625,119.0,0.64,5.48,121.625
2763,301,Mon,2014-12-8,ATL,IND,Regional,0.0,0.0,15.0,2.41,1.09,15.0
2764,302,Mon,2014-12-8,BOS,WAS,Regional,0.0,65.0,48.0,2.42,2.48,113.0
2765,303,Mon,2014-12-8,CLE,BRK,Regional,0.0,221.0,179.0,1.5,7.35,400.0
2766,304,Mon,2014-12-8,DEN,TOR,NBA TV,194.0,15.0,0.0,1.63,2.86,209.0
2767,305,Mon,2014-12-8,GSW,MIN,Regional,0.0,112.0,14.0,2.49,1.74,126.0
2768,306,Mon,2014-12-8,UTA,SAC,Regional,0.0,27.1,62.0,0.92,1.38,89.1
2769,307,Mon,2014-12-8,PHX,LAC,Regional,0.0,38.0,126.0,1.89,5.48,164.0
2770,308,Tue,2014-12-9,TOR,CLE,Regional,0.0,0.0,205.0,2.86,1.5,205.0
2771,309,Tue,2014-12-9,POR,DET,Regional,0.0,61.0,38.0,1.14,1.85,99.0
2772,310,Tue,2014-12-9,DAL,MEM,NBA TV,356.0,104.0,23.2,2.71,0.63,483.2
2773,311,Tue,2014-12-9,NYK,NOP,Regional,0.0,171.0,15.1,7.35,0.64,186.1
2774,312,Tue,2014-12-9,MIL,OKC,Regional,0.0,19.0,52.4,0.9,0.72,71.4
2775,313,Tue,2014-12-9,MIA,PHX,Regional,0.0,116.0,57.0,1.7,1.89,173.0
2776,314,Tue,2014-12-9,SAS,UTA,Regional,0.0,85.0,33.1,0.94,0.92,118.1
2777,315,Tue,2014-12-9,SAC,LAL,NBA TV,332.0,89.0,202.0,1.38,5.48,623.0
2778,316,Wed,2014-12-10,BOS,CHA,Regional,0.0,61.0,21.3,2.42,1.19,82.3
2779,317,Wed,2014-12-10,LAC,IND,Regional,0.0,80.0,30.0,5.48,1.09,110.0
2780,318,Wed,2014-12-10,WAS,ORL,Regional,0.0,54.0,15.0,2.48,1.52,69.0
2781,319,Wed,2014-12-10,PHI,ATL,Regional,0.0,17.0,34.0,2.94,2.41,51.0
